waypoint1	waypoint2	distance_m	duration_s
El Hoceima	Taroudant	1125942	43770
El Hoceima	Settat	724439	29736
El Hoceima	Guelmim	1287667	52740
El Hoceima	Khouribga	641971	29930
Tangier	Rabat	249881	9495
Agadir	Tangier	798697	28706
Tangier	Essaouira	708031	26914
Tangier	Tetouan	63229	4565
Tangier	Sidi Slimane	208050	10006
Tangier	Chefchaouen	112371	7728
Tangier	Kenitra	205867	8001
Tangier	Ifran	399294	16331
Tangier	Nador	401377	23388
Tangier	Taroudant	817128	29641
Tangier	Settat	415625	15608
Tangier	Guelmim	978852	38612
Tangier	Khouribga	390731	17235
Agadir	Rabat	548178	19839
Essaouira	Rabat	457512	18047
Tetouan	Rabat	278508	12270
Sidi Slimane	Rabat	116916	5679
Chefchaouen	Rabat	251710	14168
Kenitra	Rabat	54179	2707
Ifran	Rabat	207949	9353
Nador	Rabat	510975	19399
Taroudant	Rabat	566609	20774
Settat	Rabat	165106	6741
Guelmim	Rabat	728334	29745
Khouribga	Rabat	207100	8219
Agadir	Essaouira	174995	10541
Agadir	Tetouan	825430	31247
Agadir	Sidi Slimane	663838	24656
Agadir	Chefchaouen	798631	33145
Agadir	Kenitra	601100	21684
Agadir	Ifran	754871	28330
Agadir	Nador	1057897	38376
Agadir	Taroudant	82747	5236
Agadir	Settat	392708	14205
Agadir	Guelmim	201509	12046
Agadir	Khouribga	510246	18371
Essaouira	Tetouan	735116	29461
Essaouira	Sidi Slimane	573524	22870
Essaouira	Chefchaouen	708318	31359
Essaouira	Kenitra	510786	19898
Essaouira	Ifran	664557	26544
Essaouira	Nador	967583	36590
Essaouira	Taroudant	303680	13319
Essaouira	Settat	325891	12970
Essaouira	Guelmim	374082	22244
Essaouira	Khouribga	443429	17136
Sidi Slimane	Tetouan	235808	12647
Chefchaouen	Tetouan	64918	5206
Kenitra	Tetouan	233625	10641
Ifran	Tetouan	427052	18972
Nador	Tetouan	343900	20103
Taroudant	Tetouan	844886	32282
Settat	Tetouan	443382	18249
Guelmim	Tetouan	1006610	41253
Khouribga	Tetouan	418489	19876
Sidi Slimane	Chefchaouen	163609	10157
Sidi Slimane	Kenitra	65452	4144
Sidi Slimane	Ifran	129075	8174
Nador	Sidi Slimane	435710	18197
Sidi Slimane	Taroudant	683753	25716
Sidi Slimane	Settat	282250	11682
Guelmim	Sidi Slimane	845478	34686
Sidi Slimane	Khouribga	229525	13365
Chefchaouen	Kenitra	200258	12542
Chefchaouen	Ifran	254804	16099
Nador	Chefchaouen	347497	20409
Chefchaouen	Taroudant	818559	34114
Chefchaouen	Settat	417056	20080
Guelmim	Chefchaouen	980284	43084
Chefchaouen	Khouribga	392162	21707
Kenitra	Ifran	201846	9318
Nador	Kenitra	504872	19364
Kenitra	Taroudant	620485	22724
Kenitra	Settat	218981	8690
Guelmim	Kenitra	782209	31694
Kenitra	Khouribga	194088	10317
Nador	Ifran	354729	15087
Taroudant	Ifran	774184	29292
Settat	Ifran	372680	15259
Guelmim	Ifran	935908	38263
Khouribga	Ifran	231818	14220
Nador	Taroudant	1079562	39805
Nador	Settat	678059	25771
Guelmim	Nador	1241287	48775
Nador	Khouribga	595591	25965
Settat	Taroudant	410416	15119
Guelmim	Taroudant	256013	14136
Taroudant	Khouribga	527953	19284
Guelmim	Settat	572029	24019
Settat	Khouribga	90874	5418
Guelmim	Khouribga	690153	28056
